fingerprint,duplicate_lines,file_path,start_line,end_line
e3f294ec39f829b21ec14a22f6ee9534,6,Rubberduck/RubberduckTests/Inspections/UnreachableCase/UnreachableCaseInspectionTests.cs,574,582
e3f294ec39f829b21ec14a22f6ee9534,6,Rubberduck/RubberduckTests/Inspections/UnreachableCase/UnreachableCaseInspectionTests.cs,520,528
e3f294ec39f829b21ec14a22f6ee9534,6,Rubberduck/RubberduckTests/Inspections/UnreachableCase/UnreachableCaseInspectionTests.cs,361,369
13c2b9c845043f2443455cb86e70ef05,6,Rubberduck/RubberduckTests/QuickFixes/MoveFieldCloserToUsageQuickFixTests.cs,102,110
13c2b9c845043f2443455cb86e70ef05,6,Rubberduck/RubberduckTests/QuickFixes/MoveFieldCloserToUsageQuickFixTests.cs,44,52
23cd1435ff010711e44712e9e82f3059,6,Rubberduck/RubberduckTests/VBEditor/CodePaneSourceHandlerTests.cs,35,41
23cd1435ff010711e44712e9e82f3059,6,Rubberduck/RubberduckTests/VBEditor/CodePaneSourceHandlerTests.cs,17,23
3a442b5e947bcd84dcee2720ba781cbf,6,Rubberduck/RubberduckTests/Settings/ReferenceSettingsTests.cs,329,336
3a442b5e947bcd84dcee2720ba781cbf,6,Rubberduck/RubberduckTests/Settings/ReferenceSettingsTests.cs,312,319
3a442b5e947bcd84dcee2720ba781cbf,6,Rubberduck/RubberduckTests/Settings/ReferenceSettingsTests.cs,295,302
6f1300025ae77ed9f93089c95d80d6e7,6,Rubberduck/RubberduckTests/CodeExplorer/CodeExplorerCustomFolderViewModelTests.cs,144,152
6f1300025ae77ed9f93089c95d80d6e7,6,Rubberduck/RubberduckTests/CodeExplorer/CodeExplorerCustomFolderViewModelTests.cs,119,127
6f1300025ae77ed9f93089c95d80d6e7,6,Rubberduck/RubberduckTests/CodeExplorer/CodeExplorerCustomFolderViewModelTests.cs,94,102
511ae77c296a148f06ddea1c9774cecb,6,Rubberduck/RubberduckTests/QuickFixes/ChangeIntegerToLongQuickFixTests.cs,286,294
511ae77c296a148f06ddea1c9774cecb,6,Rubberduck/RubberduckTests/QuickFixes/ChangeIntegerToLongQuickFixTests.cs,224,232
8444a1aabe52ab01e627d106b7aa103e,6,Rubberduck/RubberduckTests/Refactoring/ExtractInterface/ExtractInterfaceTests.cs,597,602
8444a1aabe52ab01e627d106b7aa103e,6,Rubberduck/RubberduckTests/Refactoring/ExtractInterface/ExtractInterfaceTests.cs,458,463
438a7b91fef6c1fbf1e158e4a78335ce,6,Rubberduck/RubberduckTests/Inspections/BooleanAssignedInIfElseInspectionTests.cs,56,61
438a7b91fef6c1fbf1e158e4a78335ce,6,Rubberduck/RubberduckTests/QuickFixes/ReplaceIfElseWithConditionalStatementQuickFixTests.cs,67,72
a224116dde1f9f7d6ae931d240497af8,6,Rubberduck/RubberduckTests/Refactoring/DeleteDeclarations/DeleteProcedureScopeElements/DeleteDeclarationsLocalVariablesAndConstantsTests.cs,106,111
a224116dde1f9f7d6ae931d240497af8,6,Rubberduck/RubberduckTests/Refactoring/DeleteDeclarations/DeleteProcedureScopeElements/DeleteDeclarationsLocalVariablesAndConstantsTests.cs,73,78
851f8cffda8c1a5a222603214abf977c,6,Rubberduck/RubberduckTests/Inspections/BooleanAssignedInIfElseInspectionTests.cs,139,146
851f8cffda8c1a5a222603214abf977c,6,Rubberduck/RubberduckTests/Inspections/BooleanAssignedInIfElseInspectionTests.cs,91,98
769470a34059cfcb95d472765f7a703e,6,Rubberduck/RubberduckTests/Inspections/VariableNotAssignedInspectionTests.cs,426,433
769470a34059cfcb95d472765f7a703e,6,Rubberduck/RubberduckTests/Inspections/VariableNotAssignedInspectionTests.cs,348,355
769470a34059cfcb95d472765f7a703e,6,Rubberduck/RubberduckTests/Inspections/VariableNotAssignedInspectionTests.cs,280,287
e654a39e9ca71abbe89a9c525091cb85,6,Rubberduck/RubberduckTests/Inspections/ObsoleteLetStatementInspectionTests.cs,75,81
e654a39e9ca71abbe89a9c525091cb85,6,Rubberduck/RubberduckTests/QuickFixes/IgnoreOnceQuickFixTests.cs,533,539
ece29bfd6d1ab33709ed6a3a3549e56f,6,Rubberduck/RubberduckTests/Refactoring/EncapsulateField/EncapsulateFieldUtilitiesTests.cs,799,805
ece29bfd6d1ab33709ed6a3a3549e56f,6,Rubberduck/RubberduckTests/Refactoring/EncapsulateField/EncapsulateFieldUtilitiesTests.cs,742,748
ece29bfd6d1ab33709ed6a3a3549e56f,6,Rubberduck/RubberduckTests/Refactoring/EncapsulateField/EncapsulateFieldUtilitiesTests.cs,560,566
6853469db8e536a7278bdd2f1835c547,6,Rubberduck/RubberduckTests/Inspections/IsMissingOnInappropriateArgumentInspectionTests.cs,18,23
6853469db8e536a7278bdd2f1835c547,6,Rubberduck/RubberduckTests/QuickFixes/IsMissingOnInappropriateArgumentQuickFixTests.cs,22,27
bb59719970304061194327b8ce3a4947,6,Rubberduck/Rubberduck.Core/UI/ToDoItems/ToDoExplorerViewModel.cs,155,162
bb59719970304061194327b8ce3a4947,6,Rubberduck/Rubberduck.Core/UI/UnitTesting/TestExplorerViewModel.cs,213,220
bb59719970304061194327b8ce3a4947,6,Rubberduck/Rubberduck.Core/UI/Inspections/InspectionResultsViewModel.cs,428,435
302d93cbbab8776e8102e38d8579d1a6,6,Rubberduck/RubberduckTests/Refactoring/DeleteDeclarations/DeleteProcedureScopeElements/DeleteDeclarationsLocalVariablesAndConstantsTests.cs,913,919
302d93cbbab8776e8102e38d8579d1a6,6,Rubberduck/RubberduckTests/Refactoring/DeleteDeclarations/DeleteProcedureScopeElements/DeleteDeclarationsLocalVariablesAndConstantsTests.cs,896,902
6a37c493ba5125151923f038d898c884,6,Rubberduck/RubberduckTests/Inspections/ImplicitActiveWorkbookReferenceInspectionTests.cs,186,195
6a37c493ba5125151923f038d898c884,6,Rubberduck/RubberduckTests/Inspections/ImplicitActiveWorkbookReferenceInspectionTests.cs,170,179
6a37c493ba5125151923f038d898c884,6,Rubberduck/RubberduckTests/Inspections/ImplicitActiveWorkbookReferenceInspectionTests.cs,154,163
6a37c493ba5125151923f038d898c884,6,Rubberduck/RubberduckTests/Inspections/ImplicitActiveWorkbookReferenceInspectionTests.cs,138,147
6a37c493ba5125151923f038d898c884,6,Rubberduck/RubberduckTests/Inspections/ImplicitActiveWorkbookReferenceInspectionTests.cs,122,131
aee4dda9d2a0df7ab379a65c347b618c,6,Rubberduck/RubberduckTests/QuickFixes/PassParameterByValueQuickFixTests.cs,288,293
aee4dda9d2a0df7ab379a65c347b618c,6,Rubberduck/RubberduckTests/QuickFixes/PassParameterByValueQuickFixTests.cs,278,283
a6dc2f2d9333481e4f2eed5d2892efb2,6,Rubberduck/RubberduckTests/Refactoring/DeleteDeclarations/DeleteDeclarationsUDTMembersTests.cs,84,90
a6dc2f2d9333481e4f2eed5d2892efb2,6,Rubberduck/RubberduckTests/Refactoring/DeleteDeclarations/DeleteDeclarationsUDTMembersTests.cs,44,50
0c51faca174dd4617047f77edbd735b0,6,Rubberduck/Rubberduck.Core/UI/Command/ComCommands/FindAllReferencesCommand.cs,57,62
0c51faca174dd4617047f77edbd735b0,6,Rubberduck/Rubberduck.Core/UI/Command/ComCommands/FindAllReferencesCommand.cs,17,22
8e1baf2e7e3d4cf8a3705e566eb6bc3d,6,Rubberduck/RubberduckTests/QuickFixes/AddMissingAttributeQuickFixTests.cs,200,208
8e1baf2e7e3d4cf8a3705e566eb6bc3d,6,Rubberduck/RubberduckTests/QuickFixes/AddMissingAttributeQuickFixTests.cs,108,116
8e1baf2e7e3d4cf8a3705e566eb6bc3d,6,Rubberduck/RubberduckTests/QuickFixes/AddMissingAttributeQuickFixTests.cs,48,56
8e1baf2e7e3d4cf8a3705e566eb6bc3d,6,Rubberduck/RubberduckTests/QuickFixes/AddMissingAttributeQuickFixTests.cs,27,35
d56634465b839ae35a31c1925d42d00d,6,Rubberduck/Rubberduck.Main/Root/RubberduckIoCInstaller.cs,903,908
d56634465b839ae35a31c1925d42d00d,6,Rubberduck/Rubberduck.Main/Root/RubberduckIoCInstaller.cs,890,895
3773244c7c47f86c43fbe90401788d23,6,Rubberduck/RubberduckTests/SmartIndenter/MiscAndCornerCaseTests.cs,543,549
3773244c7c47f86c43fbe90401788d23,6,Rubberduck/RubberduckTests/SmartIndenter/SpecificSettingTests.cs,840,846
3773244c7c47f86c43fbe90401788d23,6,Rubberduck/RubberduckTests/SmartIndenter/SpecificSettingTests.cs,56,62
1d3e4482118f9ea640f2edab36e48b08,6,Rubberduck/RubberduckTests/Inspections/InspectionResultTests.cs,172,177
1d3e4482118f9ea640f2edab36e48b08,6,Rubberduck/RubberduckTests/Inspections/InspectionResultTests.cs,142,147
8d630b00f420c0d6f3a43b235170fb82,6,Rubberduck/RubberduckTests/Inspections/ObjectVariableNotSetInspectionTests.cs,408,415
8d630b00f420c0d6f3a43b235170fb82,6,Rubberduck/RubberduckTests/Inspections/ObjectVariableNotSetInspectionTests.cs,392,399
0a2d63d69b14a552e2f14844039434ca,6,Rubberduck/RubberduckTests/Rewriter/RewriteManagerTests.cs,105,111
0a2d63d69b14a552e2f14844039434ca,6,Rubberduck/RubberduckTests/Rewriter/RewriteManagerTests.cs,72,78
81baf6098f0068190bceb46422d8b7eb,6,Rubberduck/RubberduckTests/Refactoring/DeleteDeclarations/DeleteProcedureScopeElements/DeleteDeclarationsLabelsTests.cs,511,519
81baf6098f0068190bceb46422d8b7eb,6,Rubberduck/RubberduckTests/Refactoring/DeleteDeclarations/DeleteProcedureScopeElements/DeleteDeclarationsLabelsTests.cs,419,427
81baf6098f0068190bceb46422d8b7eb,6,Rubberduck/RubberduckTests/Refactoring/DeleteDeclarations/DeleteProcedureScopeElements/DeleteDeclarationsLabelsTests.cs,374,382
81baf6098f0068190bceb46422d8b7eb,6,Rubberduck/RubberduckTests/Refactoring/DeleteDeclarations/DeleteProcedureScopeElements/DeleteDeclarationsLabelsTests.cs,176,184
2d9b88c62b57f28c9b9354624050b4f5,6,Rubberduck/RubberduckTests/Inspections/UnassignedVariableUsageInspectionTests.cs,503,510
2d9b88c62b57f28c9b9354624050b4f5,6,Rubberduck/RubberduckTests/Inspections/UnassignedVariableUsageInspectionTests.cs,488,495
9b31b0ad3d3f76e2a7c923b48cb7eb88,6,Rubberduck/RubberduckTests/QuickFixes/MoveFieldCloserToUsageQuickFixTests.cs,34,40
9b31b0ad3d3f76e2a7c923b48cb7eb88,6,Rubberduck/RubberduckTests/QuickFixes/IgnoreOnceQuickFixTests.cs,331,337
e89e53ae55ff3ad56b83620791f1fc7e,6,Rubberduck/RubberduckTests/Mocks/MockParser.cs,159,164
e89e53ae55ff3ad56b83620791f1fc7e,6,Rubberduck/Rubberduck.Parsing/VBA/SynchronousParseCoordinator.cs,17,22
40a1ad3b2cecd47570f5f5284a0a1bcc,6,Rubberduck/RubberduckTests/PostProcessing/AttributesUpdaterTests.cs,826,831
40a1ad3b2cecd47570f5f5284a0a1bcc,6,Rubberduck/RubberduckTests/PostProcessing/AttributesUpdaterTests.cs,619,624
f752480e8745ed0afb76c4eb95b6b449,6,Rubberduck/Rubberduck.Core/UI/CodeExplorer/Commands/OpenProjectPropertiesCommand.cs,33,45
f752480e8745ed0afb76c4eb95b6b449,6,Rubberduck/Rubberduck.Core/UI/CodeExplorer/Commands/OpenDesignerCommand.cs,33,45
81f05a7b9954da9a493bb4f4d748a293,6,Rubberduck/RubberduckTests/Refactoring/Rename/RenameTests.cs,918,925
81f05a7b9954da9a493bb4f4d748a293,6,Rubberduck/RubberduckTests/Refactoring/Rename/RenameTests.cs,883,890
f28a7a9c61f1ff98da8240639dd50a91,6,Rubberduck/RubberduckTests/Preprocessing/VBAPreprocessorVisitorTests.cs,704,709
f28a7a9c61f1ff98da8240639dd50a91,6,Rubberduck/RubberduckTests/Preprocessing/VBAPreprocessorVisitorTests.cs,292,297
ba1686de406e73c257da3caee3b7cf5a,6,Rubberduck/RubberduckTests/Rewriter/AttributesRewriteSessionTests.cs,62,69
ba1686de406e73c257da3caee3b7cf5a,6,Rubberduck/RubberduckTests/Rewriter/RewriteSessionTestBase.cs,183,190
5a1711607951bd04ca1464eb321bdb0d,6,Rubberduck/RubberduckTestsCodeAnalysis/InspectionXmlDocAnalyzerTests.cs,117,142
5a1711607951bd04ca1464eb321bdb0d,6,Rubberduck/RubberduckTestsCodeAnalysis/InspectionXmlDocAnalyzerTests.cs,38,62
687b580ce739134b155718e300dad9e2,6,Rubberduck/RubberduckTests/Refactoring/ExtractMethod/ExtractMethodModelTests.cs,710,716
687b580ce739134b155718e300dad9e2,6,Rubberduck/RubberduckTests/Refactoring/ExtractMethod/ExtractMethodModelTests.cs,682,688
687b580ce739134b155718e300dad9e2,6,Rubberduck/RubberduckTests/Refactoring/ExtractMethod/ExtractMethodModelTests.cs,654,660
687b580ce739134b155718e300dad9e2,6,Rubberduck/RubberduckTests/Refactoring/ExtractMethod/ExtractMethodModelTests.cs,625,631
687b580ce739134b155718e300dad9e2,6,Rubberduck/RubberduckTests/Refactoring/ExtractMethod/ExtractMethodModelTests.cs,596,602
687b580ce739134b155718e300dad9e2,6,Rubberduck/RubberduckTests/Refactoring/ExtractMethod/ExtractMethodModelTests.cs,567,573
687b580ce739134b155718e300dad9e2,6,Rubberduck/RubberduckTests/Refactoring/ExtractMethod/ExtractMethodModelTests.cs,535,541
687b580ce739134b155718e300dad9e2,6,Rubberduck/RubberduckTests/Refactoring/ExtractMethod/ExtractMethodModelTests.cs,374,380
687b580ce739134b155718e300dad9e2,6,Rubberduck/RubberduckTests/Refactoring/ExtractMethod/ExtractMethodModelTests.cs,286,292
687b580ce739134b155718e300dad9e2,6,Rubberduck/RubberduckTests/Refactoring/ExtractMethod/ExtractMethodModelTests.cs,226,232
687b580ce739134b155718e300dad9e2,6,Rubberduck/RubberduckTests/Refactoring/ExtractMethod/ExtractMethodModelTests.cs,199,205
687b580ce739134b155718e300dad9e2,6,Rubberduck/RubberduckTests/Refactoring/ExtractMethod/ExtractMethodModelTests.cs,146,152
687b580ce739134b155718e300dad9e2,6,Rubberduck/RubberduckTests/Refactoring/ExtractMethod/ExtractMethodModelTests.cs,88,94
687b580ce739134b155718e300dad9e2,6,Rubberduck/RubberduckTests/Refactoring/ExtractMethod/ExtractMethodModelTests.cs,61,67
52f0067af6464e2e46a61b955c8d3e14,6,Rubberduck/Rubberduck.Parsing/Binding/TypeBindingContext.cs,56,63
52f0067af6464e2e46a61b955c8d3e14,6,Rubberduck/Rubberduck.Parsing/Binding/ProcedurePointerBindingContext.cs,72,79
924026462b0b3bc9d335de479d856f4b,6,Rubberduck/Rubberduck.Core/UI/UnitTesting/ComCommands/AddTestMethodCommand.cs,17,22
924026462b0b3bc9d335de479d856f4b,6,Rubberduck/Rubberduck.Core/UI/UnitTesting/ComCommands/AddTestMethodExpectedErrorCommand.cs,17,22
313b60a5d9ae4ac472ffe7abdc04975f,6,Rubberduck/RubberduckTests/Refactoring/RenameFolder/RenameFolderViewModelTests.cs,147,156
313b60a5d9ae4ac472ffe7abdc04975f,6,Rubberduck/RubberduckTests/Refactoring/MoveFolders/MoveMultipleFoldersViewModelTests.cs,184,193
313b60a5d9ae4ac472ffe7abdc04975f,6,Rubberduck/RubberduckTests/Refactoring/MoveFolders/MoveMultipleFoldersViewModelTests.cs,138,147
b9e7802fb306470868ba23365f0d2486,6,Rubberduck/RubberduckTests/QuickFixes/ChangeIntegerToLongQuickFixTests.cs,416,423
b9e7802fb306470868ba23365f0d2486,6,Rubberduck/RubberduckTests/QuickFixes/ChangeIntegerToLongQuickFixTests.cs,385,392
58f063ae1af7ef866ca0d4ee2a463273,6,Rubberduck/RubberduckTests/Refactoring/ImplementInterface/ImplementInterfaceTests.cs,192,197
58f063ae1af7ef866ca0d4ee2a463273,6,Rubberduck/RubberduckTests/Refactoring/ImplementInterface/ImplementInterfaceTests.cs,70,75
eb7519cf230a760f08e6579a09ae8822,6,Rubberduck/Rubberduck.CodeAnalysis/Inspections/Concrete/IndexedUnboundDefaultMemberAccessInspection.cs,44,56
eb7519cf230a760f08e6579a09ae8822,6,Rubberduck/Rubberduck.CodeAnalysis/Inspections/Concrete/UseOfUnboundBangNotationInspection.cs,72,84
14daa7989789f8125a33b33f1049faaa,6,Rubberduck/RubberduckTests/QuickFixes/RemoveUnusedDeclarationQuickFixTests.cs,208,214
14daa7989789f8125a33b33f1049faaa,6,Rubberduck/RubberduckTests/QuickFixes/RemoveUnusedDeclarationQuickFixTests.cs,167,173
22320e2c9b2df58248cc6dcc5663d884,6,Rubberduck/RubberduckTests/Parsing/LogicalLineStoreTests.cs,146,155
22320e2c9b2df58248cc6dcc5663d884,6,Rubberduck/RubberduckTests/Parsing/LogicalLineStoreTests.cs,130,139
67aa55dcda5a38a373dec6feb02e453c,6,Rubberduck/RubberduckTests/Inspections/UDTMemberNotUsedInspectionTests.cs,68,74
67aa55dcda5a38a373dec6feb02e453c,6,Rubberduck/RubberduckTests/Inspections/UDTMemberNotUsedInspectionTests.cs,45,51
67aa55dcda5a38a373dec6feb02e453c,6,Rubberduck/RubberduckTests/Inspections/UDTMemberNotUsedInspectionTests.cs,21,27
3f354a7b807fc5e02b03ecd7a2f886cf,6,Rubberduck/Rubberduck.Parsing/VBA/DeclarationResolving/DeclarationResolveRunnerBase.cs,213,218
3f354a7b807fc5e02b03ecd7a2f886cf,6,Rubberduck/Rubberduck.Parsing/VBA/DeclarationResolving/DeclarationResolveRunnerBase.cs,196,201
781d793b4de5c76c0def9e1b562e843a,6,Rubberduck/RubberduckTests/Rewriter/VariableRewriterInfoFinderTests.cs,232,238
781d793b4de5c76c0def9e1b562e843a,6,Rubberduck/RubberduckTests/Rewriter/VariableRewriterInfoFinderTests.cs,212,218
781d793b4de5c76c0def9e1b562e843a,6,Rubberduck/RubberduckTests/Rewriter/VariableRewriterInfoFinderTests.cs,192,198
781d793b4de5c76c0def9e1b562e843a,6,Rubberduck/RubberduckTests/Rewriter/VariableRewriterInfoFinderTests.cs,172,178
781d793b4de5c76c0def9e1b562e843a,6,Rubberduck/RubberduckTests/Rewriter/VariableRewriterInfoFinderTests.cs,148,154
781d793b4de5c76c0def9e1b562e843a,6,Rubberduck/RubberduckTests/Rewriter/VariableRewriterInfoFinderTests.cs,85,91
781d793b4de5c76c0def9e1b562e843a,6,Rubberduck/RubberduckTests/Rewriter/VariableRewriterInfoFinderTests.cs,21,27
a83c6b461124d59cf0e2953a4423e094,6,Rubberduck/RubberduckTests/SmartIndenter/MiscAndCornerCaseTests.cs,30,35
a83c6b461124d59cf0e2953a4423e094,6,Rubberduck/RubberduckTests/SmartIndenter/MiscAndCornerCaseTests.cs,18,23
38245b883167505584e7397c7d73a195,6,Rubberduck/RubberduckTests/VBEditor/ProjectsRepositoryTests.cs,1432,1443
38245b883167505584e7397c7d73a195,6,Rubberduck/RubberduckTests/VBEditor/ProjectsRepositoryTests.cs,1394,1405
4f4044754f7d6a9eb5acaa2ef706546e,6,Rubberduck/RubberduckTests/Inspections/SetAssignmentWithIncompatibleObjectTypeInspectionTests.cs,512,517
4f4044754f7d6a9eb5acaa2ef706546e,6,Rubberduck/RubberduckTests/Inspections/SetAssignmentWithIncompatibleObjectTypeInspectionTests.cs,485,490
1214553e717c6b7d86816830ac4ea8c9,6,Rubberduck/RubberduckTests/Inspections/ObsoleteMemberUsageInspectionTests.cs,32,38
1214553e717c6b7d86816830ac4ea8c9,6,Rubberduck/RubberduckTests/Inspections/ObsoleteMemberUsageInspectionTests.cs,16,22
4bb1ab9c7c9d8c6ea022202ec9d72de6,6,Rubberduck/RubberduckTests/Symbols/DeclarationFinderTests.cs,1229,1238
4bb1ab9c7c9d8c6ea022202ec9d72de6,6,Rubberduck/RubberduckTests/Symbols/DeclarationFinderTests.cs,1182,1191
4bb1ab9c7c9d8c6ea022202ec9d72de6,6,Rubberduck/RubberduckTests/Symbols/DeclarationFinderTests.cs,1135,1144
4bb1ab9c7c9d8c6ea022202ec9d72de6,6,Rubberduck/RubberduckTests/Symbols/DeclarationFinderTests.cs,1090,1099
4bb1ab9c7c9d8c6ea022202ec9d72de6,6,Rubberduck/RubberduckTests/Symbols/DeclarationFinderTests.cs,1035,1044
a3a2362f372d8422b3d26ed90176ebca,6,Rubberduck/Rubberduck.Core/UI/SaveFileDialog.cs,20,25
a3a2362f372d8422b3d26ed90176ebca,6,Rubberduck/Rubberduck.Core/UI/OpenFileDialog.cs,21,26
045b4fd754cf235052c12eed7b86332f,6,Rubberduck/RubberduckTests/Commands/RefactorCommands/IntroduceFieldCommandTests.cs,23,31
045b4fd754cf235052c12eed7b86332f,6,Rubberduck/RubberduckTests/Commands/RefactorCommands/PromoteToParameterCommandTests.cs,23,31
697692f06d12c51ac5da4dd5473eaf92,6,Rubberduck/RubberduckTests/Inspections/IsMissingOnInappropriateArgumentInspectionTests.cs,138,143
697692f06d12c51ac5da4dd5473eaf92,6,Rubberduck/RubberduckTests/QuickFixes/IsMissingOnInappropriateArgumentQuickFixTests.cs,88,93
6c5eccf5e4a4072018295ffe66f15551,6,Rubberduck/RubberduckTests/Grammar/ResolverTests.cs,2463,2472
6c5eccf5e4a4072018295ffe66f15551,6,Rubberduck/RubberduckTests/Grammar/ResolverTests.cs,2247,2256
5893e9a727576c540e03116cc79e500c,6,Rubberduck/RubberduckTests/Parsing/LogicalLineStoreTests.cs,245,254
